Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,0.079087,0.102640,0.076632,0.096079,0.096079,3497240136
2023-04-04,0.096083,0.102538,0.092871,0.095159,0.095159,3096545498
2023-04-05,0.095168,0.098939,0.092084,0.092817,0.092817,1529520651
2023-04-06,0.092822,0.092847,0.085412,0.085412,0.085412,1410995902
2023-04-07,0.085438,0.086098,0.081891,0.082456,0.082456,858234171
2023-04-08,0.082443,0.083826,0.081035,0.081405,0.081405,507929909
2023-04-09,0.081401,0.083825,0.081354,0.083290,0.083290,454428407
2023-04-10,0.083297,0.085272,0.082470,0.084852,0.084852,473882914
2023-04-11,0.084851,0.085710,0.083899,0.084237,0.084237,472611203
2023-04-12,0.084237,0.084429,0.081319,0.083433,0.083433,540510658
2023-04-13,0.083428,0.088381,0.083020,0.087484,0.087484,810485328
2023-04-14,0.087485,0.091116,0.085879,0.088785,0.088785,1007326042
2023-04-15,0.088785,0.090447,0.087653,0.088974,0.088974,463978095
2023-04-16,0.088968,0.091515,0.088231,0.090472,0.090472,594760862
2023-04-17,0.090482,0.094595,0.088577,0.091449,0.091449,1360494890
2023-04-18,0.091440,0.094442,0.090118,0.093009,0.093009,833681984
