Date,Open,High,Low,Close,Adj Close,Volume
2023-03-18,0.076510,0.078764,0.072946,0.073050,0.073050,517840653
2023-03-19,0.073041,0.076602,0.073041,0.074813,0.074813,338882489
2023-03-20,0.074807,0.075608,0.071022,0.071487,0.071487,409238948
2023-03-21,0.071491,0.077477,0.070862,0.076894,0.076894,631254174
2023-03-22,0.076870,0.077643,0.072134,0.073999,0.073999,693511781
2023-03-23,0.073996,0.078934,0.073295,0.077412,0.077412,637122733
2023-03-24,0.077404,0.077490,0.073388,0.074680,0.074680,396748009
2023-03-25,0.074682,0.075914,0.072964,0.074044,0.074044,286831067
2023-03-26,0.074055,0.075376,0.073721,0.074417,0.074417,228916506
2023-03-27,0.074426,0.075831,0.071756,0.072895,0.072895,435284210
2023-03-28,0.072899,0.073925,0.071937,0.073823,0.073823,276514415
2023-03-29,0.073824,0.076733,0.073642,0.075627,0.075627,423884022
2023-03-30,0.075642,0.076641,0.073684,0.074245,0.074245,372289117
2023-03-31,0.074259,0.077722,0.073808,0.077035,0.077035,378314248
2023-04-01,0.077025,0.085279,0.076144,0.084051,0.084051,933070185
2023-04-02,0.081859,0.085279,0.077848,0.079089,0.079089,929778146
2023-04-03,0.079087,0.102640,0.076632,0.096079,0.096079,3497240136
2023-04-04,0.096083,0.102538,0.092871,0.095159,0.095159,3096545498
2023-04-05,0.095168,0.098939,0.092084,0.092817,0.092817,1529520651
2023-04-06,0.092822,0.092847,0.085412,0.085412,0.085412,1410995902
2023-04-07,0.085438,0.086098,0.081891,0.082456,0.082456,858234171
2023-04-08,0.082443,0.083826,0.081035,0.081405,0.081405,507929909
2023-04-09,0.081401,0.083825,0.081354,0.083290,0.083290,454428407
2023-04-10,0.083297,0.085272,0.082470,0.084852,0.084852,473882914
2023-04-11,0.084851,0.085710,0.083899,0.084237,0.084237,472611203
2023-04-12,0.084237,0.084429,0.081319,0.083433,0.083433,540510658
2023-04-13,0.083428,0.088381,0.083020,0.087484,0.087484,810485328
2023-04-14,0.087485,0.091116,0.085879,0.088785,0.088785,1007326042
2023-04-15,0.088785,0.090447,0.087653,0.088974,0.088974,463978095
2023-04-16,0.088968,0.091515,0.088231,0.090472,0.090472,594760862
2023-04-17,0.090482,0.094595,0.088577,0.091449,0.091449,1360494890
2023-04-18,0.091440,0.094442,0.090118,0.092935,0.092935,818935744
